Name,TotalMinutes,PER,TSPCT,3PAr,FTr,ORBPCT,DRBPCT,TRBPCT,ASTPCT,STLPCT,BLKPCT,TOVPCT,USGPCT,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Troy Brown Jr.,651,9.2,0.534,0.656,0.18,3.4,16.2,10.0,0.102,0.011000000000000001,0.3,0.11599999999999999,0.15,0.1,0.7,0.8,0.061,-2.0,0.0,-1.9,0.0
Troy Brown Jr.,410,11.7,0.603,0.712,0.186,4.1,15.3,10.0,0.11800000000000001,0.01,0.4,0.12400000000000001,0.157,0.4,0.6,1.0,0.119,-0.2,0.6,0.4,0.3
Troy Brown Jr.,241,5.0,0.408,0.554,0.169,2.3,17.8,9.9,0.075,0.012,0.0,0.10300000000000001,0.13699999999999998,-0.3,0.1,-0.2,-0.038,-5.0,-0.9,-5.9,-0.2
Jalen Brunson,2421,22.7,0.589,0.325,0.29,1.8,9.7,5.7,0.325,0.013000000000000001,0.5,0.092,0.319,7.3,2.4,9.6,0.191,5.9,-0.3,5.6,4.7
Thomas Bryant,418,18.2,0.627,0.151,0.324,9.9,25.8,17.7,0.08199999999999999,0.012,3.5,0.107,0.189,0.8,0.7,1.5,0.169,-1.0,0.3,-0.7,0.1
Kobe Bufkin,106,8.3,0.421,0.488,0.098,2.0,14.9,8.2,0.223,0.013999999999999999,1.7,0.12300000000000001,0.19100000000000003,-0.1,0.1,-0.1,-0.024,-3.4,0.0,-3.4,0.0
Reggie Bullock,346,8.0,0.571,0.811,0.014,1.8,18.3,10.0,0.048,0.013000000000000001,0.8,0.09699999999999999,0.10099999999999999,0.1,0.4,0.5,0.076,-2.6,0.4,-2.1,0.0
Alec Burks,1181,13.0,0.54,0.581,0.294,2.2,11.6,6.8,0.105,0.01,0.9,0.068,0.245,0.8,0.6,1.4,0.058,-0.1,-2.1,-2.2,-0.1
Alec Burks,901,15.0,0.581,0.608,0.33,2.0,11.8,6.8,0.11199999999999999,0.011000000000000001,1.0,0.064,0.23399999999999999,1.3,0.4,1.7,0.093,1.3,-1.7,-0.4,0.4
Alec Burks,280,6.7,0.427,0.51,0.2,3.2,10.8,7.0,0.084,0.006999999999999999,0.3,0.077,0.28,-0.5,0.2,-0.3,-0.054,-4.6,-3.6,-8.2,-0.4
Jared Butler,408,12.7,0.572,0.403,0.173,1.5,8.6,5.0,0.311,0.022000000000000002,1.0,0.21100000000000002,0.196,0.1,0.2,0.3,0.031,-2.1,-0.9,-3.0,-0.1
Jimmy Butler,1762,22.4,0.625,0.174,0.585,6.0,12.0,9.0,0.228,0.02,0.9,0.08900000000000001,0.24300000000000002,5.6,2.3,7.9,0.216,4.1,0.8,4.9,3.1
Jamal Cain,253,11.7,0.544,0.392,0.291,6.6,9.5,8.0,0.057,0.02,1.9,0.08199999999999999,0.171,0.1,0.3,0.5,0.089,-2.4,0.2,-2.2,0.0
Kentavious Caldwell-Pope,2195,10.7,0.6,0.519,0.206,1.5,6.8,4.2,0.095,0.021,1.4,0.107,0.128,2.0,2.4,4.3,0.095,-2.1,0.8,-1.3,0.4
Toumani Camara,1739,10.6,0.547,0.393,0.226,8.6,14.1,11.2,0.071,0.019,1.7,0.149,0.139,0.5,1.4,1.9,0.054,-3.1,-0.1,-3.2,-0.5
Clint Capela,1710,21.0,0.588,0.002,0.326,19.3,25.9,22.5,0.066,0.011000000000000001,5.3,0.091,0.174,4.1,1.8,5.9,0.166,1.1,-1.0,0.1,0.9
Jevon Carter,924,8.2,0.492,0.634,0.021,1.1,5.7,3.3,0.11900000000000001,0.018000000000000002,1.6,0.092,0.17500000000000002,-0.5,0.6,0.1,0.007,-3.4,-0.6,-4.0,-0.5
Wendell Carter Jr.,1249,16.0,0.622,0.387,0.347,9.1,23.2,16.1,0.10099999999999999,0.012,1.9,0.125,0.17300000000000001,2.0,2.0,3.9,0.152,0.5,0.6,1.0,1.0
D.J. Carton,36,9.6,0.539,0.5,0.625,6.0,6.3,6.1,0.105,0.013000000000000001,0.0,0.08900000000000001,0.133,0.0,0.0,0.0,0.064,-4.3,-1.2,-5.5,0.0
Alex Caruso,1897,14.4,0.61,0.615,0.179,3.4,11.9,7.6,0.158,0.028999999999999998,3.7,0.145,0.15,2.0,2.5,4.5,0.113,0.1,2.3,2.3,2.1
Colin Castleton,45,13.4,0.705,0.0,0.364,10.4,14.0,12.3,0.09,0.011000000000000001,0.0,0.136,0.142,0.1,0.0,0.1,0.156,-3.6,-1.0,-4.6,0.0
Malcolm Cazalon,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.011,-6.0,-3.1,-9.1,0.0
Julian Champagnie,1237,10.3,0.561,0.707,0.21,3.3,12.2,7.7,0.09,0.016,2.4,0.113,0.142,0.4,1.0,1.3,0.052,-2.0,-0.3,-2.3,-0.1
